scale,absort,test,test_name,domain,subdomain,narrow,pass,verbal,timed,test_type,score_type,description
Inhibitory Control,,cefi_observer,CEFI Observer,ADHD,Inhibitory Control,Inhibitory Control (Observer),,,,rating_scale,standard_score,"ability to control behavior or impulses, including thinking about consequences before acting, maintaining self-control, and thinking before speaking"
Initiation,,cefi_observer,CEFI Observer,ADHD,Initiation,Initiation (Observer),,,,rating_scale,standard_score,"ability to begin tasks or projects on own, including starting tasks easily, being motivated, and taking the initiative when needed"
Organization,,cefi_observer,CEFI Observer,ADHD,Organization,Organization (Observer),,,,rating_scale,standard_score,"ability to manage personal effects, work, or multiple tasks, including organizing tasks and thoughts well, managing time effectively, and working neatly"
Planning,,cefi_observer,CEFI Observer,ADHD,Planning,Planning (Observer),,,,rating_scale,standard_score,"ability to develop and implement strategies to accomplish tasks, including planning ahead and making good decisions"
Self-Monitoring,,cefi_observer,CEFI Observer,ADHD,Self-Monitoring,Self-Monitoring (Observer),,,,rating_scale,standard_score,"ability to evaluate own behavior in order to determine when a different approach is necessary, including noticing and fixing mistakes, knowing when help is required, and understanding when a task is completed"
Working Memory,,cefi_observer,CEFI Observer,ADHD,Working Memory,Working Memory (Observer),,,,rating_scale,standard_score,"ability to keep information in mind that is important for knowing what to do and how to do it, including remembering important things, instructions, and steps"
Attention,,cefi_parent_5-18,CEFI Parent,ADHD,Attention,Attention (Parent),,,,rating_scale,standard_score,"ability to avoid distractions, concentrate on tasks, and sustain attention"
Emotion Regulation,,cefi_parent_5-18,CEFI Parent,ADHD,Emotion Regulation,Emotion Regulation (Parent),,,,rating_scale,standard_score,"ability to control and manage emotions, including staying calm when handling small problems and reacting with the right level of emotion"
Flexibility,,cefi_parent_5-18,CEFI Parent,ADHD,Flexibility,Flexibility (Parent),,,,rating_scale,standard_score,"ability to adjust behavior to meet circumstances, including coming up with different ways to solve problems, changing behavior when needed, and being able to come up with new ways to reach a goal"
Full Scale,,cefi_parent_5-18,CEFI Parent,ADHD,Full Scale,Full Scale (Parent),,,,rating_scale,standard_score,overall executive functioning
Inhibitory Control,,cefi_parent_5-18,CEFI Parent,ADHD,Inhibitory Control,Inhibitory Control (Parent),,,,rating_scale,standard_score,"ability to control behavior or impulses, including thinking about consequences before acting, maintaining self-control, and thinking before speaking"
Initiation,,cefi_parent_5-18,CEFI Parent,ADHD,Initiation,Initiation (Parent),,,,rating_scale,standard_score,"ability to begin tasks or projects on own, including starting tasks easily, being motivated, and taking the initiative when needed"
Organization,,cefi_parent_5-18,CEFI Parent,ADHD,Organization,Organization (Parent),,,,rating_scale,standard_score,"ability to manage personal effects, work, or multiple tasks, including organizing tasks and thoughts well, managing time effectively, and working neatly"
Planning,,cefi_parent_5-18,CEFI Parent,ADHD,Planning,Planning (Parent),,,,rating_scale,standard_score,"ability to develop and implement strategies to accomplish tasks, including planning ahead and making good decisions"
Self-Monitoring,,cefi_parent_5-18,CEFI Parent,ADHD,Self-Monitoring,Parent-Monitoring (Parent),,,,rating_scale,standard_score,"ability to evaluate own behavior in order to determine when a different approach is necessary, including noticing and fixing mistakes, knowing when help is required, and understanding when a task is completed"
Working Memory,,cefi_parent_5-18,CEFI Parent,ADHD,Working Memory,Working Memory (Parent),,,,rating_scale,standard_score,"ability to keep information in mind that is important for knowing what to do and how to do it, including remembering important things, instructions, and steps"
Attention,,cefi_self,CEFI Self,ADHD,Attention,Attention (Self),,,,rating_scale,standard_score,"ability to avoid distractions, concentrate on tasks, and sustain attention"
Emotion Regulation,,cefi_self,CEFI Self,ADHD,Emotion Regulation,Emotion Regulation (Self),,,,rating_scale,standard_score,"ability to control and manage emotions, including staying calm when handling small problems and reacting with the right level of emotion"
Flexibility,,cefi_self,CEFI Self,ADHD,Flexibility,Flexibility (Self),,,,rating_scale,standard_score,"ability to adjust behavior to meet circumstances, including coming up with different ways to solve problems, changing behavior when needed, and being able to come up with new ways to reach a goal"
Full Scale,,cefi_self,CEFI Self,ADHD,Full Scale,Full Scale (Self),,,,rating_scale,standard_score,overall executive functioning
Inhibitory Control,,cefi_self,CEFI Self,ADHD,Inhibitory Control,Inhibitory Control (Self),,,,rating_scale,standard_score,"ability to control behavior or impulses, including thinking about consequences before acting, maintaining self-control, and thinking before speaking"
Initiation,,cefi_self,CEFI Self,ADHD,Initiation,Initiation (Self),,,,rating_scale,standard_score,"ability to begin tasks or projects on own, including starting tasks easily, being motivated, and taking the initiative when needed"
Organization,,cefi_self,CEFI Self,ADHD,Organization,Organization (Self),,,,rating_scale,standard_score,"ability to manage personal effects, work, or multiple tasks, including organizing tasks and thoughts well, managing time effectively, and working neatly"
Planning,,cefi_self,CEFI Self,ADHD,Planning,Planning (Self),,,,rating_scale,standard_score,"ability to develop and implement strategies to accomplish tasks, including planning ahead and making good decisions"
Self-Monitoring,,cefi_self,CEFI Self,ADHD,Self-Monitoring,Self-Monitoring (Self),,,,rating_scale,standard_score,"ability to evaluate own behavior in order to determine when a different approach is necessary, including noticing and fixing mistakes, knowing when help is required, and understanding when a task is completed"
Working Memory,,cefi_self,CEFI Self,ADHD,Working Memory,Working Memory (Self),,,,rating_scale,standard_score,"ability to keep information in mind that is important for knowing what to do and how to do it, including remembering important things, instructions, and steps"
Attention,,cefi_self_12-18,CEFI Self 12-18,ADHD,Attention,Attention (Self),,,,rating_scale,standard_score,"ability to avoid distractions, concentrate on tasks, and sustain attention"
Emotion Regulation,,cefi_self_12-18,CEFI Self 12-18,ADHD,Emotion Regulation,Emotion Regulation (Self),,,,rating_scale,standard_score,"ability to control and manage emotions, including staying calm when handling small problems and reacting with the right level of emotion"
Flexibility,,cefi_self_12-18,CEFI Self 12-18,ADHD,Flexibility,Flexibility (Self),,,,rating_scale,standard_score,"ability to adjust behavior to meet circumstances, including coming up with different ways to solve problems, changing behavior when needed, and being able to come up with new ways to reach a goal"
Full Scale,,cefi_self_12-18,CEFI Self 12-18,ADHD,Full Scale,Full Scale (Self),,,,rating_scale,standard_score,overall executive functioning
Inhibitory Control,,cefi_self_12-18,CEFI Self 12-18,ADHD,Inhibitory Control,Inhibitory Control (Self),,,,rating_scale,standard_score,"ability to control behavior or impulses, including thinking about consequences before acting, maintaining self-control, and thinking before speaking"
Initiation,,cefi_self_12-18,CEFI Self 12-18,ADHD,Initiation,Initiation (Self),,,,rating_scale,standard_score,"ability to begin tasks or projects on own, including starting tasks easily, being motivated, and taking the initiative when needed"
Organization,,cefi_self_12-18,CEFI Self 12-18,ADHD,Organization,Organization (Self),,,,rating_scale,standard_score,"ability to manage personal effects, work, or multiple tasks, including organizing tasks and thoughts well, managing time effectively, and working neatly"
Planning,,cefi_self_12-18,CEFI Self 12-18,ADHD,Planning,Planning (Self),,,,rating_scale,standard_score,"ability to develop and implement strategies to accomplish tasks, including planning ahead and making good decisions"
Self-Monitoring,,cefi_self_12-18,CEFI Self 12-18,ADHD,Self-Monitoring,Self-Monitoring (Self),,,,rating_scale,standard_score,"ability to evaluate own behavior in order to determine when a different approach is necessary, including noticing and fixing mistakes, knowing when help is required, and understanding when a task is completed"
Working Memory,,cefi_self_12-18,CEFI Self 12-18,ADHD,Working Memory,Working Memory (Self),,,,rating_scale,standard_score,"ability to keep information in mind that is important for knowing what to do and how to do it, including remembering important things, instructions, and steps"
Attention,,cefi_teacher_5-18,CEFI Teacher,ADHD,Attention,Attention (Teacher),,,,rating_scale,standard_score,"ability to avoid distractions, concentrate on tasks, and sustain attention"
Emotion Regulation,,cefi_teacher_5-18,CEFI Teacher,ADHD,Emotion Regulation,Emotion Regulation (Teacher),,,,rating_scale,standard_score,"ability to control and manage emotions, including staying calm when handling small problems and reacting with the right level of emotion"
Flexibility,,cefi_teacher_5-18,CEFI Teacher,ADHD,Flexibility,Flexibility (Teacher),,,,rating_scale,standard_score,"ability to adjust behavior to meet circumstances, including coming up with different ways to solve problems, changing behavior when needed, and being able to come up with new ways to reach a goal"
Full Scale,,cefi_teacher_5-18,CEFI Teacher,ADHD,Full Scale,Full Scale (Teacher),,,,rating_scale,standard_score,overall executive functioning
Inhibitory Control,,cefi_teacher_5-18,CEFI Teacher,ADHD,Inhibitory Control,Inhibitory Control (Teacher),,,,rating_scale,standard_score,"ability to control behavior or impulses, including thinking about consequences before acting, maintaining self-control, and thinking before speaking"
Initiation,,cefi_teacher_5-18,CEFI Teacher,ADHD,Initiation,Initiation (Teacher),,,,rating_scale,standard_score,"ability to begin tasks or projects on own, including starting tasks easily, being motivated, and taking the initiative when needed"
Organization,,cefi_teacher_5-18,CEFI Teacher,ADHD,Organization,Organization (Teacher),,,,rating_scale,standard_score,"ability to manage personal effects, work, or multiple tasks, including organizing tasks and thoughts well, managing time effectively, and working neatly"
Planning,,cefi_teacher_5-18,CEFI Teacher,ADHD,Planning,Planning (Teacher),,,,rating_scale,standard_score,"ability to develop and implement strategies to accomplish tasks, including planning ahead and making good decisions"
Self-Monitoring,,cefi_teacher_5-18,CEFI Teacher,ADHD,Self-Monitoring,Teacher-Monitoring (Teacher),,,,rating_scale,standard_score,"ability to evaluate own behavior in order to determine when a different approach is necessary, including noticing and fixing mistakes, knowing when help is required, and understanding when a task is completed"
Working Memory,,cefi_teacher_5-18,CEFI Teacher,ADHD,Working Memory,Working Memory (Teacher),,,,rating_scale,standard_score,"ability to keep information in mind that is important for knowing what to do and how to do it, including remembering important things, instructions, and steps"
ADHD Hyperactive/Impulsive Symptoms,,conners4_parent,Conners-4 Parent,ADHD,Hyperactive/Impulsive,Hyperactive/Impulsive (Parent),,,,rating_scale,t_score,symptoms of hyperactivity and impulsivity consistent with DSM-5
ADHD Inattentive Symptoms,,conners4_parent,Conners-4 Parent,ADHD,Inattention,Inattention (Parent),,,,rating_scale,t_score,items that are consistent with the DSM-5 Inattentive Presentation of ADHD
ADHD Index,,conners4_parent,Conners-4 Parent,ADHD,ADHD Index,ADHD Index (Parent),,,,rating_scale,t_score,scale composed of the 12 items that best differentiate youth with ADHD from those in the general population
Anxious Thoughts,,conners4_parent,Conners-4 Parent,ADHD,Internalizing,Internalizing (Parent),,,,rating_scale,t_score,"a scale including items about the patient's experience of—or difficulty with—regulating fears or worries, including appearing tense or nervous, and worrying too much about different things"
Conduct Disorder Symptoms,,conners4_parent,Conners-4 Parent,ADHD,Disruptive Behavior,Disruptive Behavior (Parent),,,,rating_scale,t_score,items representing the DSM symptoms of Conduct Disorder
Depressed Mood,,conners4_parent,Conners-4 Parent,ADHD,Internalizing,Internalizing (Parent),,,,rating_scale,t_score,"items related to feeling sad, lacking enjoyment in things that used to be enjoyed, and feeling hopeless about the future"
Emotional Dysregulation,,conners4_parent,Conners-4 Parent,ADHD,Externalizing,Externalizing (Parent),,,,rating_scale,t_score,"a scale including items about overreacting, losing temper, and having trouble calming down"
Family Life,,conners4_parent,Conners-4 Parent,ADHD,Impairment,Impairment (Parent),,,,rating_scale,t_score,"items reflecting family disruptions caused by the youth, such as creating stress and chaos among family members, as well as causing the family to be late for appointments"
Hyperactivity,,conners4_parent,Conners-4 Parent,ADHD,Hyperactivity,Hyperactivity (Parent),,,,rating_scale,t_score,"a scale including items about restlessness, difficulty staying seated or sitting still, needing to move around, getting overly excited, and talking too much"
Impulsivity,,conners4_parent,Conners-4 Parent,ADHD,Impulsivity,Impulsivity (Parent),,,,rating_scale,t_score,"a scale including items about interrupting others, blurting out answers, acting before thinking, and having trouble waiting for one's turn"
Inattention/Executive Dysfunction,,conners4_parent,Conners-4 Parent,ADHD,Attention/Executive,Attention/Executive (Parent),,,,rating_scale,t_score,"a scale including items related to having trouble paying attention and sustaining attention, as well as difficulty with other areas of executive functioning such as planning, organizing, and time management"
Oppositional Defiant Disorder Symptoms,,conners4_parent,Conners-4 Parent,ADHD,Disruptive Behavior,Disruptive Behavior (Parent),,,,rating_scale,t_score,items representing the DSM symptoms of Oppositional Defiant Disorder
Peer Interactions,,conners4_parent,Conners-4 Parent,ADHD,Impairment,Impairment (Parent),,,,rating_scale,t_score,"items related to the youth annoying their peers, not being invited by others to play or go out, and others not wanting to be friends with them"
Schoolwork,,conners4_parent,Conners-4 Parent,ADHD,Impairment,Impairment (Parent),,,,rating_scale,t_score,"items related to turning in late or incomplete work, losing homework, and not checking their work for mistakes"
Total ADHD Symptoms,,conners4_parent,Conners-4 Parent,ADHD,ADHD Combined,ADHD Combined (Parent),,,,rating_scale,t_score,all items from the Conners 4 DSM ADHD Inattentive and Hyperactive/Impulsive Symptom scales
ADHD Hyperactive/Impulsive Symptoms,,conners4_self,Conners-4 Self,ADHD,Hyperactive/Impulsive,Hyperactive/Impulsive (Self),,,,rating_scale,t_score,symptoms of hyperactivity and impulsivity consistent with DSM-5
ADHD Inattentive Symptoms,,conners4_self,Conners-4 Self,ADHD,Inattention,Inattention (Self),,,,rating_scale,t_score,items that are consistent with the DSM-5 Inattentive Presentation of ADHD
ADHD Index,,conners4_self,Conners-4 Self,ADHD,ADHD Index,ADHD Index (Self),,,,rating_scale,t_score,scale composed of the 12 items that best differentiate youth with ADHD from those in the general population
Anxious Thoughts,,conners4_self,Conners-4 Self,ADHD,Internalizing,Internalizing (Self),,,,rating_scale,t_score,"a scale including items about the patient's experience of—or difficulty with—regulating fears or worries, including appearing tense or nervous, and worrying too much about different things"
Conduct Disorder Symptoms,,conners4_self,Conners-4 Self,ADHD,Disruptive Behavior,Disruptive Behavior (Self),,,,rating_scale,t_score,items representing the DSM symptoms of Conduct Disorder
Depressed Mood,,conners4_self,Conners-4 Self,ADHD,Internalizing,Internalizing (Self),,,,rating_scale,t_score,"items related to feeling sad, lacking enjoyment in things that used to be enjoyed, and feeling hopeless about the future"
Emotional Dysregulation,,conners4_self,Conners-4 Self,ADHD,Externalizing,Externalizing (Self),,,,rating_scale,t_score,"a scale including items about overreacting, losing temper, and having trouble calming down"
Family Life,,conners4_self,Conners-4 Self,ADHD,Impairment,Impairment (Self),,,,rating_scale,t_score,"items reflecting family disruptions caused by the youth, such as creating stress and chaos among family members, as well as causing the family to be late for appointments"
Hyperactivity,,conners4_self,Conners-4 Self,ADHD,Hyperactivity,Hyperactivity (Self),,,,rating_scale,t_score,"a scale including items about restlessness, difficulty staying seated or sitting still, needing to move around, getting overly excited, and talking too much"
Impulsivity,,conners4_self,Conners-4 Self,ADHD,Impulsivity,Impulsivity (Self),,,,rating_scale,t_score,"a scale including items about interrupting others, blurting out answers, acting before thinking, and having trouble waiting for one's turn"
Inattention/Executive Dysfunction,,conners4_self,Conners-4 Self,ADHD,Attention/Executive,Attention/Executive (Self),,,,rating_scale,t_score,"a scale including items related to having trouble paying attention and sustaining attention, as well as difficulty with other areas of executive functioning such as planning, organizing, and time management"
Oppositional Defiant Disorder Symptoms,,conners4_self,Conners-4 Self,ADHD,Disruptive Behavior,Disruptive Behavior (Self),,,,rating_scale,t_score,items representing the DSM symptoms of Oppositional Defiant Disorder
Peer Interactions,,conners4_self,Conners-4 Self,ADHD,Impairment,Impairment (Self),,,,rating_scale,t_score,"items related to the youth annoying their peers, not being invited by others to play or go out, and others not wanting to be friends with them"
Schoolwork,,conners4_self,Conners-4 Self,ADHD,Impairment,Impairment (Self),,,,rating_scale,t_score,"items related to turning in late or incomplete work, losing homework, and not checking their work for mistakes"
Total ADHD Symptoms,,conners4_self,Conners-4 Self,ADHD,ADHD Combined,ADHD Combined (Self),,,,rating_scale,t_score,all items from the Conners 4 DSM ADHD Inattentive and Hyperactive/Impulsive Symptom scales
ADHD Hyperactive/Impulsive Symptoms,,conners4_teacher,Conners-4 Teacher,ADHD,Hyperactive/Impulsive,Hyperactive/Impulsive (Teacher),,,,rating_scale,t_score,symptoms of hyperactivity and impulsivity consistent with DSM-5
ADHD Inattentive Symptoms,,conners4_teacher,Conners-4 Teacher,ADHD,Inattention,Inattention (Teacher),,,,rating_scale,t_score,items that are consistent with the DSM-5 Inattentive Presentation of ADHD
ADHD Index,,conners4_teacher,Conners-4 Teacher,ADHD,ADHD Index,ADHD Index (Teacher),,,,rating_scale,t_score,scale composed of the 12 items that best differentiate youth with ADHD from those in the general population
Anxious Thoughts,,conners4_teacher,Conners-4 Teacher,ADHD,Internalizing,Internalizing (Teacher),,,,rating_scale,t_score,"a scale including items about the patient's experience of—or difficulty with—regulating fears or worries, including appearing tense or nervous, and worrying too much about different things"
Conduct Disorder Symptoms,,conners4_teacher,Conners-4 Teacher,ADHD,Disruptive Behavior,Disruptive Behavior (Teacher),,,,rating_scale,t_score,items representing the DSM symptoms of Conduct Disorder
Depressed Mood,,conners4_teacher,Conners-4 Teacher,ADHD,Internalizing,Internalizing (Teacher),,,,rating_scale,t_score,"items related to feeling sad, lacking enjoyment in things that used to be enjoyed, and feeling hopeless about the future"
Emotional Dysregulation,,conners4_teacher,Conners-4 Teacher,ADHD,Externalizing,Externalizing (Teacher),,,,rating_scale,t_score,"a scale including items about overreacting, losing temper, and having trouble calming down"
Family Life,,conners4_teacher,Conners-4 Teacher,ADHD,Impairment,Impairment (Teacher),,,,rating_scale,t_score,"items reflecting family disruptions caused by the youth, such as creating stress and chaos among family members, as well as causing the family to be late for appointments"
Hyperactivity,,conners4_teacher,Conners-4 Teacher,ADHD,Hyperactivity,Hyperactivity (Teacher),,,,rating_scale,t_score,"a scale including items about restlessness, difficulty staying seated or sitting still, needing to move around, getting overly excited, and talking too much"
Impulsivity,,conners4_teacher,Conners-4 Teacher,ADHD,Impulsivity,Impulsivity (Teacher),,,,rating_scale,t_score,"a scale including items about interrupting others, blurting out answers, acting before thinking, and having trouble waiting for one's turn"
Inattention/Executive Dysfunction,,conners4_teacher,Conners-4 Teacher,ADHD,Attention/Executive,Attention/Executive (Teacher),,,,rating_scale,t_score,"a scale including items related to having trouble paying attention and sustaining attention, as well as difficulty with other areas of executive functioning such as planning, organizing, and time management"
Oppositional Defiant Disorder Symptoms,,conners4_teacher,Conners-4 Teacher,ADHD,Disruptive Behavior,Disruptive Behavior (Teacher),,,,rating_scale,t_score,items representing the DSM symptoms of Oppositional Defiant Disorder
Peer Interactions,,conners4_teacher,Conners-4 Teacher,ADHD,Impairment,Impairment (Teacher),,,,rating_scale,t_score,"items related to the youth annoying their peers, not being invited by others to play or go out, and others not wanting to be friends with them"
Schoolwork,,conners4_teacher,Conners-4 Teacher,ADHD,Impairment,Impairment (Teacher),,,,rating_scale,t_score,"items related to turning in late or incomplete work, losing homework, and not checking their work for mistakes"
Total ADHD Symptoms,,conners4_teacher,Conners-4 Teacher,ADHD,ADHD Combined,ADHD Combined (Teacher),,,,rating_scale,t_score,all items from the Conners 4 DSM ADHD Inattentive and Hyperactive/Impulsive Symptom scales
Trial 1 Free Recall Total Correct,cvltc_01,cvlt_child,CVLT Child,Memory,Learning Efficiency,Word-List Learning,Sequential,Verbal,Untimed,npsych_test,z_score,"Assesses the number of words recalled after the first exposure to the word list, evaluating initial learning and immediate memory"
Trial 5 Free Recall Total Correct,cvltc_02,cvlt_child,CVLT Child,Memory,Learning Efficiency,Word-List Learning,Sequential,Verbal,Untimed,npsych_test,z_score,"Evaluates the number of words recalled after the fifth exposure to the word list, reflecting learning after multiple trials"
Trials 1-5 Free Recall Total Correct,cvltc_03,cvlt_child,CVLT Child,Memory,Learning Efficiency,Word-List Learning,Sequential,Verbal,Untimed,npsych_test,t_score,"Measures the total number of words correctly recalled across the first five learning trials, assessing immediate and cumulative recall ability"
List B Free Recall Total Correct,cvltc_04,cvlt_child,CVLT Child,Memory,Learning Efficiency,Word-List Learning,Sequential,Verbal,Untimed,npsych_test,z_score,"Measures recall of a new, interference list (List B), assessing the ability to learn and recall new information after initial learning"
Short Delay Free Recall Total Correct,cvltc_05,cvlt_child,CVLT Child,Memory,Delayed Recall,Free-Recall Memory,Sequential,Verbal,Untimed,npsych_test,z_score,"Assesses recall of the original list after a short delay, evaluating short-term memory retention"
Short Delay Cued Recall Total Correct,cvltc_06,cvlt_child,CVLT Child,Memory,Delayed Recall,Free-Recall Memory,Sequential,Verbal,Untimed,npsych_test,z_score,"Measures recall of the original list with cues after a short delay, evaluating cued memory and retrieval"
Long Delay Free Recall Total Correct,cvltc_07,cvlt_child,CVLT Child,Memory,Delayed Recall,Free-Recall Memory,Sequential,Verbal,Untimed,npsych_test,z_score,"Assesses recall of the original list after a longer delay, evaluating long-term memory retention"
Long Delay Cued Recall Total Correct,cvltc_08,cvlt_child,CVLT Child,Memory,Delayed Recall,Free-Recall Memory,Sequential,Verbal,Untimed,npsych_test,z_score,"Measures recall of the original list with cues after a longer delay, evaluating long-term cued memory and retrieval"
Long Delay Yes/No Recognition Hits,cvltc_09,cvlt_child,CVLT Child,Memory,Delayed Recall,Recognition Memory,Sequential,Verbal,Untimed,npsych_test,z_score,"Evaluates the ability to recognize words from the original list after a long delay, assessing recognition memory"
Long Delay Yes/No Recognition False Positives,cvltc_10,cvlt_child,CVLT Child,Memory,Delayed Recall,Recognition Memory,Sequential,Verbal,Untimed,npsych_test,z_score,"Measures incorrect recognitions of non-list words after a long delay, assessing memory errors and false alarms"
Free Recall Intrusions,cvltc_11,cvlt_child,CVLT Child,Memory,Attention,Response Monitoring,Sequential,Verbal,Untimed,npsych_test,z_score,"Counts the number of incorrect words recalled during free recall tasks, indicating memory errors or confabulations"
Cued-Recall Intrusions,cvltc_12,cvlt_child,CVLT Child,Memory,Attention,Response Monitoring,Sequential,Verbal,Untimed,npsych_test,z_score,"Counts the number of incorrect responses during cued recall tasks, assessing errors in memory retrieval"
Total Intrusions,cvltc_13,cvlt_child,CVLT Child,Memory,Attention,Response Monitoring,Sequential,Verbal,Untimed,npsych_test,z_score,"Summarizes the total number of incorrect responses across all recall tasks, reflecting overall memory error propensity"
Total Repetitions,cvltc_14,cvlt_child,CVLT Child,Memory,Attention,Response Monitoring,Sequential,Verbal,Untimed,npsych_test,z_score,"Counts the number of repeated words during recall tasks, indicating perseveration or difficulty in organizing recall"
Trials 1-5 Semantic Clustering Ratio,cvltc_15,cvlt_child,CVLT Child,Memory,Executive,Organization,Sequential,Verbal,Untimed,npsych_test,z_score,"Measures the use of semantic strategies to organize recall, reflecting depth of processing and organizational ability"
Trials 1-5 Serial Clustering Ratio,cvltc_16,cvlt_child,CVLT Child,Memory,Executive,Organization,Sequential,Verbal,Untimed,npsych_test,z_score,"Assesses the use of serial order strategies to organize recall, reflecting sequential processing and organizational ability"
Trials 1-5 % Recall Primacy,cvltc_17,cvlt_child,CVLT Child,Memory,Executive,Organization,Sequential,Verbal,Untimed,npsych_test,z_score,"Evaluates the proportion of words recalled from the beginning of the list, reflecting the primacy effect in memory"
Trials 1-5 % Recall Middle,cvltc_18,cvlt_child,CVLT Child,Memory,Executive,Organization,Sequential,Verbal,Untimed,npsych_test,z_score,"Assesses the proportion of words recalled from the middle of the list, reflecting the ability to recall less prominent information"
Trials 1-5 % Recall Recency,cvltc_19,cvlt_child,CVLT Child,Memory,Executive,Organization,Sequential,Verbal,Untimed,npsych_test,z_score,"Evaluates the proportion of words recalled from the end of the list, reflecting the recency effect in memory"
Trails 1-5 Learning Slope,cvltc_20,cvlt_child,CVLT Child,Memory,Executive,Organization,Sequential,Verbal,Untimed,npsych_test,z_score,"Measures the rate of learning across the five trials, reflecting the ability to improve recall with repeated exposure"
Trails 1-5 Percent Recall Consistency,cvltc_21,cvlt_child,CVLT Child,Memory,Executive,Organization,Sequential,Verbal,Untimed,npsych_test,z_score,"Assesses the consistency of recall across the five learning trials, reflecting stability in learning"
Long Delay Recognition Discriminability,cvltc_22,cvlt_child,CVLT Child,Memory,Delayed Recall,Recognition Memory,Sequential,Verbal,Untimed,npsych_test,z_score,"Evaluates the ability to distinguish between list and non-list words after a long delay, reflecting memory clarity and discrimination"
Long Delay Recognition Response Bias,cvltc_23,cvlt_child,CVLT Child,Memory,Delayed Recall,Recognition Memory,Sequential,Verbal,Untimed,npsych_test,z_score,"Assesses the tendency to endorse or reject words during recognition testing, reflecting response style and decision-making in memory tasks.'"
Trial 1 Correct,cvlt3_01,cvlt3,CVLT-3,Memory,Learning Efficiency,Word-List Learning,Sequential,Verbal,Untimed,npsych_test,scaled_score,Total words recalled on the first trial of a list-learning task
Trial 2 Correct,cvlt3_02,cvlt3,CVLT-3,Memory,Learning Efficiency,Word-List Learning,Sequential,Verbal,Untimed,npsych_test,scaled_score,Total words recalled on the second trial of a list-learning task
Trial 3 Correct,cvlt3_03,cvlt3,CVLT-3,Memory,Learning Efficiency,Word-List Learning,Sequential,Verbal,Untimed,npsych_test,scaled_score,Total words recalled on the third trial of a list-learning task
Trial 4 Correct,cvlt3_04,cvlt3,CVLT-3,Memory,Learning Efficiency,Word-List Learning,Sequential,Verbal,Untimed,npsych_test,scaled_score,Total words recalled on the fourth trial of a list-learning task
Trial 5 Correct,cvlt3_05,cvlt3,CVLT-3,Memory,Learning Efficiency,Word-List Learning,Sequential,Verbal,Untimed,npsych_test,scaled_score,Total words recalled on the fifth trial of a list-learning task
Trials 1-5 Correct,cvlt3_06,cvlt3,CVLT-3,Memory,Learning Efficiency,Word-List Learning,Sequential,Verbal,Untimed,npsych_test,standard_score,Learning and recall of rote verbal information (word list)
List B Correct,cvlt3_07,cvlt3,CVLT-3,Memory,Learning Efficiency,Word-List Learning,Sequential,Verbal,Untimed,npsych_test,scaled_score,"Recall of a new, interference list (List B), assessing the ability to learn and recall new information after initial learning"
Short-Delay Free Recall Correct,cvlt3_08,cvlt3,CVLT-3,Memory,Delayed Recall,Free-Recall Memory,Sequential,Verbal,Untimed,npsych_test,scaled_score,Immediate free recall of a word list
Short-Delay Cued Recall Correct,cvlt3_09,cvlt3,CVLT-3,Memory,Delayed Recall,Free-Recall Memory,Sequential,Verbal,Untimed,npsych_test,scaled_score,Immediate cued recall of a word list
Long-Delay Free Recall Correct,cvlt3_10,cvlt3,CVLT-3,Memory,Delayed Recall,Free-Recall Memory,Sequential,Verbal,Untimed,npsych_test,scaled_score,Long-term delayed free recall of a word list
Long-Delay Cued Recall Correct,cvlt3_11,cvlt3,CVLT-3,Memory,Delayed Recall,Free-Recall Memory,Sequential,Verbal,Untimed,npsych_test,scaled_score,Long-term delayed cued recall of a word list
Total Hits,cvlt3_12,cvlt3,CVLT-3,Memory,Delayed Recall,Recognition Memory,Sequential,Verbal,Untimed,npsych_test,scaled_score,Yes/no recognition total hits
Total False Positives,cvlt3_13,cvlt3,CVLT-3,Memory,Delayed Recall,Recognition Memory,Sequential,Verbal,Untimed,npsych_test,scaled_score,Yes/no recognition total false positives
Recognition Discriminability (d'),cvlt3_14,cvlt3,CVLT-3,Memory,Delayed Recall,Recognition Memory,Sequential,Verbal,Untimed,npsych_test,scaled_score,Yes/no recognition discriminability
Total Intrusions,cvlt3_15,cvlt3,CVLT-3,Memory,Attention,Response Monitoring,Attention,Verbal,Untimed,npsych_test,scaled_score,Total number of intrusive response errors
Total Repetitions,cvlt3_16,cvlt3,CVLT-3,Memory,Attention,Response Monitoring,Attention,Verbal,Untimed,npsych_test,scaled_score,Total number of repetitive response errors
CVLT-3 Forced-Choice Recognition Hits,cvlt3_17,cvlt3,CVLT-3,Performance Validity,Cognitive Effort,Forced-Choice Recognition Memory,Attention,verbal,Untimed,validity_indicator,raw_score,Number of hits on forced-choice recognition trials (raw score)
Trial 1 Correct,cvlt3_brief_01,cvlt3_brief,CVLT-3 Brief,Memory,Learning Efficiency,Word-List Learning,Sequential,Verbal,Untimed,npsych_test,scaled_score,Total words recalled on the first trial of a list-learning task
Trial 2 Correct,cvlt3_brief_02,cvlt3_brief,CVLT-3 Brief,Memory,Learning Efficiency,Word-List Learning,Sequential,Verbal,Untimed,npsych_test,scaled_score,Total words recalled on the second trial of a list-learning task
